Dataset,Batch Size,Optimizer,Learning Rate,Epochs,Pin Memory,ResNet-18 Acc (%),ResNet-50 Acc (%),ResNet-18 Val Acc (%),ResNet-50 Val Acc (%),ResNet-18 Time (min),ResNet-50 Time (min)
MNIST,16,SGD,0.001,2,True,98.69,97.98,98.6,98.02,0.66,1.22
MNIST,16,SGD,0.0001,2,True,98.03,95.77,98.05,95.23,0.65,1.2
MNIST,16,Adam,0.001,2,True,98.2,96.13,98.22,97.37,0.75,1.43
MNIST,16,Adam,0.0001,2,True,98.61,96.72,98.22,96.83,0.73,1.48
MNIST,32,SGD,0.001,2,True,98.86,97.54,98.75,97.67,0.42,0.7
MNIST,32,SGD,0.0001,2,True,97.69,94.0,97.73,93.47,0.42,0.69
MNIST,32,Adam,0.001,2,True,97.37,97.32,97.62,97.12,0.47,0.8
MNIST,32,Adam,0.0001,2,True,98.5,95.32,98.35,95.72,0.47,0.8
MNIST,16,SGD,0.001,3,True,98.57,98.24,98.7,98.63,0.96,1.81
MNIST,16,SGD,0.0001,3,True,98.58,96.78,98.52,96.38,0.94,1.79
MNIST,16,Adam,0.001,3,True,97.86,95.92,97.98,95.52,1.09,2.13
MNIST,16,Adam,0.0001,3,True,98.45,97.87,98.62,97.72,1.08,2.15
MNIST,32,SGD,0.001,3,True,98.74,98.23,98.97,98.15,0.63,1.03
MNIST,32,SGD,0.0001,3,True,97.95,95.31,98.0,95.2,0.62,1.03
MNIST,32,Adam,0.001,3,True,98.26,95.64,98.15,97.72,0.7,1.2
MNIST,32,Adam,0.0001,3,True,98.94,95.78,98.7,96.33,0.7,1.19
MNIST,16,SGD,0.001,2,False,99.1,97.49,98.92,97.6,0.7,1.26
MNIST,16,SGD,0.0001,2,False,98.07,96.39,98.1,95.88,0.7,1.25
MNIST,16,Adam,0.001,2,False,98.33,93.56,98.07,95.68,0.79,1.48
MNIST,16,Adam,0.0001,2,False,98.62,96.62,98.75,96.05,0.79,1.47
MNIST,32,SGD,0.001,2,False,98.78,97.75,98.6,97.62,0.44,0.73
MNIST,32,SGD,0.0001,2,False,97.6,93.87,97.45,93.68,0.44,0.73
MNIST,32,Adam,0.001,2,False,98.08,96.49,97.58,97.15,0.49,0.84
MNIST,32,Adam,0.0001,2,False,98.32,95.79,98.27,95.5,0.48,0.84
MNIST,16,SGD,0.001,3,False,98.94,98.33,98.95,98.28,1.02,1.86
MNIST,16,SGD,0.0001,3,False,98.48,96.86,98.53,96.82,1.02,1.87
