Batch Size,Optimizer,Learning Rate,Epochs,Pin Memory,ResNet-18 (%),ResNet-50 (%)
16,SGD,0.001,2,True,87.86,85.68
16,SGD,0.0001,2,True,86.14,79.41
16,Adam,0.001,2,True,87.89,81.86
16,Adam,0.0001,2,True,86.28,81.19
32,SGD,0.001,2,True,87.0,79.96
32,SGD,0.0001,2,True,85.57,77.18
32,Adam,0.001,2,True,85.44,80.31
32,Adam,0.0001,2,True,87.43,81.16
16,SGD,0.001,3,True,88.01,86.45
16,SGD,0.0001,3,True,86.81,80.88
16,Adam,0.001,3,True,88.13,83.33
16,Adam,0.0001,3,True,88.63,82.6
32,SGD,0.001,3,True,88.65,85.97
32,SGD,0.0001,3,True,86.43,80.32
32,Adam,0.001,3,True,88.56,83.2
32,Adam,0.0001,3,True,88.01,84.38
16,SGD,0.001,2,False,87.22,83.66
16,SGD,0.0001,2,False,85.44,79.13
16,Adam,0.001,2,False,85.84,83.47
16,Adam,0.0001,2,False,87.63,82.46
32,SGD,0.001,2,False,86.82,83.53
32,SGD,0.0001,2,False,85.74,76.67
32,Adam,0.001,2,False,87.76,74.03
32,Adam,0.0001,2,False,87.72,82.05
16,SGD,0.001,3,False,88.7,86.05
16,SGD,0.0001,3,False,87.13,81.03
16,Adam,0.001,3,False,88.25,84.41
16,Adam,0.0001,3,False,87.83,83.91
32,SGD,0.001,3,False,88.74,85.95
32,SGD,0.0001,3,False,86.66,80.93
32,Adam,0.001,3,False,87.98,83.0
32,Adam,0.0001,3,False,89.12,84.02
