Dataset,Kernel,C,Gamma,Degree,Train Accuracy (%),Test Accuracy (%),Training Time (ms),Training Time (sec),Test Time (ms)
MNIST,rbf,1.0,scale,-,98.55,96.28,345573.71,345.57,148678.25
MNIST,rbf,10.0,scale,-,99.94,96.88,318004.85,318.0,138258.84
MNIST,rbf,1.0,0.001,-,97.96,96.03,305107.49,305.11,142276.01
MNIST,rbf,10.0,0.001,-,99.84,96.9,257897.99,257.9,121045.69
MNIST,rbf,100.0,scale,-,100.0,96.85,314427.61,314.43,140694.93
MNIST,rbf,0.1,scale,-,93.55,92.71,645492.19,645.49,246443.95
MNIST,poly,1.0,scale,2,98.47,96.78,376760.02,376.76,111777.99
MNIST,poly,1.0,scale,3,97.47,95.35,691007.8,691.01,150381.55
MNIST,poly,10.0,scale,2,99.85,97.38,270305.65,270.31,93200.38
MNIST,poly,10.0,scale,3,99.71,97.32,408044.09,408.04,99275.88
MNIST,poly,1.0,0.01,3,100.0,97.39,386257.31,386.26,96627.68
MNIST,poly,0.1,scale,2,94.17,93.3,964082.53,964.08,310858.62
FashionMNIST,rbf,1.0,scale,-,92.19,87.98,515243.17,515.24,299281.53
FashionMNIST,rbf,10.0,scale,-,98.4,89.27,486141.78,486.14,288508.92
FashionMNIST,rbf,1.0,0.001,-,91.35,87.66,493412.7,493.41,297744.56
FashionMNIST,rbf,10.0,0.001,-,97.56,89.0,445435.55,445.44,277379.47
FashionMNIST,rbf,100.0,scale,-,100.0,88.84,477598.56,477.6,294066.52
FashionMNIST,rbf,0.1,scale,-,85.4,83.75,787186.42,787.19,396115.1
FashionMNIST,poly,1.0,scale,2,91.49,87.35,494513.58,494.51,217808.74
FashionMNIST,poly,1.0,scale,3,91.55,86.64,575574.97,575.57,226338.11
FashionMNIST,poly,10.0,scale,2,97.08,88.79,412755.38,412.76,190040.26
FashionMNIST,poly,10.0,scale,3,97.84,88.86,463445.52,463.45,197871.05
FashionMNIST,poly,1.0,0.01,3,100.0,88.65,348308.0,348.31,122965.25
FashionMNIST,poly,0.1,scale,2,84.34,82.63,625759.46,625.76,192372.42
