Dataset,Kernel,C,Gamma,Degree,Train Accuracy (%),Test Accuracy (%),Training Time (ms),Training Time (sec),Test Time (ms)
MNIST,rbf,1.0,scale,-,98.55,96.28,142186.18,142.19,70359.24
MNIST,rbf,10.0,scale,-,99.94,96.88,136818.98,136.82,62668.31
MNIST,rbf,1.0,0.001,-,97.96,96.03,131848.99,131.85,66551.73
MNIST,rbf,10.0,0.001,-,99.84,96.9,112103.18,112.1,57719.81
MNIST,rbf,100.0,scale,-,100.0,96.85,136509.56,136.51,64044.54
MNIST,rbf,0.1,scale,-,93.55,92.71,263351.67,263.35,114060.63
MNIST,poly,1.0,scale,2,98.47,96.78,167842.56,167.84,47147.11
MNIST,poly,1.0,scale,3,97.47,95.35,301951.98,301.95,63062.51
MNIST,poly,10.0,scale,2,99.85,97.38,111403.68,111.4,36635.72
MNIST,poly,10.0,scale,3,99.71,97.32,180630.88,180.63,43697.38
MNIST,poly,1.0,0.01,3,100.0,97.39,171426.89,171.43,43258.68
MNIST,poly,0.1,scale,2,94.17,93.3,435064.08,435.06,88062.7
FashionMNIST,rbf,1.0,scale,-,92.19,87.98,140828.28,140.83,91424.74
FashionMNIST,rbf,10.0,scale,-,98.4,89.27,134634.52,134.63,88491.16
FashionMNIST,rbf,1.0,0.001,-,91.35,87.66,130310.64,130.31,90311.35
FashionMNIST,rbf,10.0,0.001,-,97.56,89.0,118678.19,118.68,83259.31
FashionMNIST,rbf,100.0,scale,-,100.0,88.84,132284.93,132.28,88741.82
FashionMNIST,rbf,0.1,scale,-,85.4,83.75,212712.18,212.71,120539.88
FashionMNIST,poly,1.0,scale,2,91.49,87.35,145290.18,145.29,60364.67
FashionMNIST,poly,1.0,scale,3,91.55,86.64,167890.42,167.89,62678.71
FashionMNIST,poly,10.0,scale,2,97.08,88.79,117472.19,117.47,51760.48
FashionMNIST,poly,10.0,scale,3,97.84,88.86,130381.56,130.38,54129.57
FashionMNIST,poly,1.0,0.01,3,100.0,88.65,128498.91,128.5,54671.47
FashionMNIST,poly,0.1,scale,2,84.34,82.63,270664.77,270.66,83005.44
