Configuration,Train Acc (%),Test Acc (%),Training Time (sec)
"RBF, C=1.0, γ=scale",92.19,87.98,140.83
"RBF, C=10.0, γ=scale",98.4,89.27,134.63
"RBF, C=1.0, γ=0.001",91.35,87.66,130.31
"RBF, C=10.0, γ=0.001",97.56,89.0,118.68
"RBF, C=100.0, γ=scale",100.0,88.84,132.28
"RBF, C=0.1, γ=scale",85.4,83.75,212.71
"POLY, C=1.0, γ=scale, deg=2",91.49,87.35,145.29
"POLY, C=1.0, γ=scale, deg=3",91.55,86.64,167.89
"POLY, C=10.0, γ=scale, deg=2",97.08,88.79,117.47
"POLY, C=10.0, γ=scale, deg=3",97.84,88.86,130.38
"POLY, C=1.0, γ=0.01, deg=3",100.0,88.65,128.5
"POLY, C=0.1, γ=scale, deg=2",84.34,82.63,270.66
