Dataset,Kernel,C,Gamma,Degree,Train Accuracy (%),Test Accuracy (%),Training Time (ms),Training Time (sec),Test Time (ms)
FashionMNIST,rbf,1.0,scale,-,92.19,87.98,140828.28,140.83,91424.74
FashionMNIST,rbf,10.0,scale,-,98.4,89.27,134634.52,134.63,88491.16
FashionMNIST,rbf,1.0,0.001,-,91.35,87.66,130310.64,130.31,90311.35
FashionMNIST,rbf,10.0,0.001,-,97.56,89.0,118678.19,118.68,83259.31
FashionMNIST,rbf,100.0,scale,-,100.0,88.84,132284.93,132.28,88741.82
FashionMNIST,rbf,0.1,scale,-,85.4,83.75,212712.18,212.71,120539.88
FashionMNIST,poly,1.0,scale,2,91.49,87.35,145290.18,145.29,60364.67
FashionMNIST,poly,1.0,scale,3,91.55,86.64,167890.42,167.89,62678.71
FashionMNIST,poly,10.0,scale,2,97.08,88.79,117472.19,117.47,51760.48
FashionMNIST,poly,10.0,scale,3,97.84,88.86,130381.56,130.38,54129.57
FashionMNIST,poly,1.0,0.01,3,100.0,88.65,128498.91,128.5,54671.47
FashionMNIST,poly,0.1,scale,2,84.34,82.63,270664.77,270.66,83005.44
