Dataset,Kernel,C,Gamma,Degree,Train Accuracy (%),Test Accuracy (%),Training Time (ms),Training Time (sec),Test Time (ms)
MNIST,rbf,1.0,scale,-,98.55,96.28,142186.18,142.19,70359.24
MNIST,rbf,10.0,scale,-,99.94,96.88,136818.98,136.82,62668.31
MNIST,rbf,1.0,0.001,-,97.96,96.03,131848.99,131.85,66551.73
MNIST,rbf,10.0,0.001,-,99.84,96.9,112103.18,112.1,57719.81
MNIST,rbf,100.0,scale,-,100.0,96.85,136509.56,136.51,64044.54
MNIST,rbf,0.1,scale,-,93.55,92.71,263351.67,263.35,114060.63
MNIST,poly,1.0,scale,2,98.47,96.78,167842.56,167.84,47147.11
MNIST,poly,1.0,scale,3,97.47,95.35,301951.98,301.95,63062.51
MNIST,poly,10.0,scale,2,99.85,97.38,111403.68,111.4,36635.72
MNIST,poly,10.0,scale,3,99.71,97.32,180630.88,180.63,43697.38
MNIST,poly,1.0,0.01,3,100.0,97.39,171426.89,171.43,43258.68
MNIST,poly,0.1,scale,2,94.17,93.3,435064.08,435.06,88062.7
